IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
PIE,27.91,-82.687417,ST PETERSBURG-CLEARWATER,FL,ST PETERSBURG-CLEARWATER INTERNATIONAL AIRPORT,3904,3797,3474,3434,3193,3643,3862,4651,3074,3558,5410
GRK,31.06725,-97.828917,FORT HOOD/KILLEEN,TX,ROBERT GRAY ARMY AIRFIELD,3880,1793,856,396,849,981,1336,716,865,791,245
BRW,71.285448,-156.766,BARROW,AK,WILEY POST-WILL ROGERS MEMORIAL AIRPORT,3862,4558,4375,4252,4619,4653,4595,4819,4621,4556,4895
BIS,46.772722,-100.74575,BISMARCK,ND,BISMARCK MUNICIPAL AIRPORT,3814,2151,2215,2402,2885,2957,1893,1517,2389,1637,1494
DRO,37.151517,-107.753769,DURANGO,CO,DURANGO-LA PLATA COUNTY AIRPORT,3753,1988,1659,1915,1642,2432,1904,1457,1650,1700,1537
MGM,32.300639,-86.393972,MONTGOMERY,AL,MONTGOMERY REGIONAL (DANNELLY FIELD) AIRPORT,3731,931,679,228,534,765,662,615,1076,458,1048
HRL,26.2285,-97.654389,HARLINGEN,TX,VALLEY INTERNATIONAL AIRPORT,3695,3708,2902,2657,2849,3175,3317,3010,2588,2709,2165
CPR,42.908,-106.464417,CASPER,WY,CASPER/NATRONA COUNTY INTERNATIONAL AIRPORT,3538,2245,1877,1984,2353,3318,3392,2740,2845,2315,1896
LRD,27.543799,-99.461533,LAREDO,TX,LAREDO INTERNATIONAL AIRPORT,3533,3073,3012,2829,2399,1607,2516,2290,2760,2371,2107
AUK,62.680044,-164.65992,ALAKANUK,AK,ALAKANUK AIRPORT,3522,2717,3099,2852,2768,2764,3077,3214,3097,3074,3577
EVV,38.038417,-87.530861,EVANSVILLE,IN,EVANSVILLE REGIONAL AIRPORT,3474,1863,1543,2721,2470,2104,1025,993,2835,2602,1978
BFL,35.433861,-119.057667,BAKERSFIELD,CA,MEADOWS FIELD AIRPORT,3473,3024,2824,2540,2411,2552,2371,1046,1951,805,330
KWN,59.755094,-161.845367,QUINHAGAK,AK,QUINHAGAK AIRPORT,3468,4186,4158,4002,4231,4104,4019,4263,4040,4229,3443
KWN,59.758977,-161.853642,QUINHAGAK,AK,QUINHAGAK AIRPORT,3468,4186,4158,4002,4231,4104,4019,4263,4040,4229,3443
MOT,48.257639,-101.278028,MINOT,ND,MINOT INTERNATIONAL AIRPORT,3456,1955,1906,1500,1280,796,738,774,1166,982,553
BID,41.168111,-71.577833,BLOCK ISLAND,RI,BLOCK ISLAND STATE AIRPORT,3442,272,206,101,60,319,1,4,113,87,60
ELM,42.159889,-76.891611,ELMIRA/CORNING,NY,ELMIRA/CORNING REGIONAL AIRPORT,3408,1672,1888,1614,1417,1862,1303,1387,2350,1852,1891
JAC,43.607333,-110.73775,JACKSON,WY,JACKSON HOLE AIRPORT,3325,2741,2576,2526,2123,2193,2485,2064,2974,1806,1045
KOT,63.030583,-163.53264,KOTLIK,AK,KOTLIK AIRPORT,3282,2626,2805,3037,2801,2640,3047,3072,2855,3154,3345
OAJ,34.829164,-77.612138,JACKSONVILLE,NC,ALBERT J ELLIS AIRPORT,3268,778,1121,1088,528,1552,410,279,681,837,87
AEX,31.327372,-92.548556,ALEXANDRIA,LA,ALEXANDRIA INTERNATIONAL AIRPORT,3251,1814,1328,600,974,1870,830,745,722,353,517
BMI,40.477111,-88.915917,BLOOMINGTON/NORMAL,IL,CENTRAL ILLINOIS REGIONAL AIRPORT AT BLOOMINGTON-NORMAL AIRPORT,3221,3522,2743,2517,1179,1881,1287,1251,1479,925,1049
IDA,43.513722,-112.07075,IDAHO FALLS,ID,IDAHO FALLS REGIONAL AIRPORT,3193,1130,1301,1063,1312,1615,1711,1163,1421,1244,681
AZO,42.234389,-85.551556,KALAMAZOO,MI,KALAMAZOO/BATTLE CREEK INTERNATIONAL AIRPORT,3135,1471,2104,2887,1663,2394,2241,1308,2275,2949,1890
HNH,58.096091,-135.409697,HOONAH,AK,HOONAH AIRPORT,3131,3211,3449,3531,3530,2079,2292,2394,2313,2591,1597
1G4,35.990377,-113.816424,PEACH SPRINGS,AZ,GRAND CANYON WEST AIRPORT,3104,4660,5336,1138,1004,0,2,0,0,0,0
JHM,20.962936,-156.673032,LAHAINA,HI,KAPALUA AIRPORT,3102,634,298,282,292,408,522,605,1051,499,487
HNS,59.243829,-135.523538,HAINES,AK,HAINES AIRPORT,2993,3150,3651,3669,3700,2115,2455,3666,4126,4513,2529
RFD,42.195361,-89.097222,CHICAGO/ROCKFORD,IL,CHICAGO/ROCKFORD INTERNATIONAL AIRPORT,2968,3771,4054,4244,4391,5476,6855,7062,6906,6298,5831
DLH,46.842083,-92.193639,DULUTH,MN,DULUTH INTERNATIONAL AIRPORT,2953,1476,1314,1142,2096,2368,2108,1090,2468,1633,1213
EWN,35.072972,-77.042944,NEW BERN,NC,COASTAL CAROLINA REGIONAL AIRPORT,2897,1309,1617,1607,1169,2120,1289,1300,1428,668,347
PGA,36.926083,-111.448361,PAGE,AZ,PAGE MUNICIPAL AIRPORT,2880,3072,3022,2836,2958,3502,523,191,74,362,288
LNK,40.850891,-96.759121,LINCOLN,NE,LINCOLN AIRPORT,2839,1166,1235,1337,1452,1372,828,1005,1166,830,1154
ABI,32.411306,-99.681889,ABILENE,TX,ABILENE REGIONAL AIRPORT,2822,884,1172,844,965,1148,493,485,1151,1195,825
MOU,62.095362,-163.682059,MOUNTAIN VILLAGE,AK,MOUNTAIN VILLAGE AIRPORT,2821,3237,3052,3584,3441,3150,3585,3896,3586,3983,4210
KPN,59.932951,-164.030513,KIPNUK,AK,KIPNUK AIRPORT,2797,3000,3158,3307,3422,3115,2942,3058,3282,3292,3283
KPN,59.935243,-164.031783,KIPNUK,AK,KIPNUK AIRPORT,2797,3000,3158,3307,3422,3115,2942,3058,3282,3292,3283
GAL,64.736167,-156.937389,GALENA,AK,EDWARD G. PITKA SR AIRPORT,2775,3785,3528,4348,4056,3750,3616,3750,4395,5273,4563
MBS,43.532917,-84.079639,SAGINAW,MI,MBS INTERNATIONAL AIRPORT,2756,521,1097,1748,834,2328,2376,1583,2571,2010,1937
OOK,60.541336,-165.087185,TOKSOOK BAY,AK,TOKSOOK BAY AIRPORT,2747,3022,2945,2714,2830,2903,2924,3264,2880,2908,2875
EEK,60.213671,-162.043893,EEK,AK,EEK AIRPORT,2745,3378,3007,3151,3142,2903,2919,3327,2943,3249,2826
LNY,20.785611,-156.951418,LANAI CITY,HI,LANAI AIRPORT,2685,952,706,790,483,586,446,763,516,289,537
CWA,44.777624,-89.666778,MOSINEE,WI,CENTRAL WISCONSIN AIRPORT,2683,1445,1147,2137,2108,3314,1890,1560,2848,1407,502
KUK,60.873333,-162.524306,KASIGLUK,AK,KASIGLUK AIRPORT,2682,3245,3254,3152,2880,2728,2428,2574,2791,2446,1754
KUK,60.869905,-162.524458,KASIGLUK,AK,KASIGLUK AIRPORT,2682,3245,3254,3152,2880,2728,2428,2574,2791,2446,1754
MLU,32.510866,-92.037688,MONROE,LA,MONROE REGIONAL AIRPORT,2677,701,852,600,1222,1481,757,605,610,357,147
MRI,61.213545,-149.844446,ANCHORAGE,AK,MERRILL FIELD AIRPORT,2651,3190,4158,4264,3631,3868,3784,3811,3796,3154,2898
RST,43.908278,-92.500028,ROCHESTER,MN,ROCHESTER INTERNATIONAL AIRPORT,2646,1229,1050,1971,2059,2040,2467,1944,2849,2619,1981
FYU,66.57149,-145.250417,FORT YUKON,AK,FORT YUKON AIRPORT,2644,3268,3425,3496,3337,3189,3109,3335,3281,3454,2229
GST,58.425278,-135.707417,GUSTAVUS,AK,GUSTAVUS AIRPORT,2601,2562,3274,3407,3574,868,823,1073,1116,1153,1375
ISN,48.177939,-103.642347,WILLISTON,ND,SLOULIN FIELD INTERNATIONAL AIRPORT,2600,712,948,991,1109,1375,715,399,904,1002,926
DUT,53.900139,-166.5435,UNALASKA,AK,UNALASKA AIRPORT,2572,2889,2820,2782,2665,2768,2959,3284,3219,3558,2868
BRO,25.906833,-97.425833,BROWNSVILLE,TX,BROWNSVILLE/SOUTH PADRE ISLAND INTERNATIONAL AIRPORT,2507,1157,401,658,822,984,355,428,186,94,223
CLL,30.588583,-96.363833,COLLEGE STATION,TX,EASTERWOOD FIELD AIRPORT,2444,977,1186,678,927,1281,672,531,598,716,125
ACV,40.978111,-124.108611,ARCATA/EUREKA,CA,ARCATA AIRPORT,2442,923,935,1090,1371,2406,1645,846,1675,1678,781
DAB,29.179917,-81.058056,DAYTONA BEACH,FL,DAYTONA BEACH INTERNATIONAL AIRPORT,2421,886,1021,960,1161,1744,1071,723,2176,1588,1859
KWT,60.790333,-161.443694,KWETHLUK,AK,KWETHLUK AIRPORT,2408,2842,2837,2742,2456,2014,1927,1819,1481,2283,2004
KKH,59.960806,-162.88125,KONGIGANAK,AK,KONGIGANAK AIRPORT,2387,2610,2649,2860,3093,3236,2949,2910,3108,3088,3075
KKH,59.963308,-162.879815,KONGIGANAK,AK,KONGIGANAK AIRPORT,2387,2610,2649,2860,3093,3236,2949,2910,3108,3088,3075
ERI,42.082021,-80.176216,ERIE,PA,ERIE INTERNATIONAL/TOM RIDGE FIELD,2346,389,306,479,637,1467,664,429,1612,2259,1524
ITH,42.491361,-76.458722,ITHACA,NY,ITHACA TOMPKINS REGIONAL AIRPORT,2320,1003,1218,1415,948,2316,525,129,632,468,775
HPB,61.523861,-166.146639,HOOPER BAY,AK,HOOPER BAY AIRPORT,2266,2342,2327,2628,2701,2782,3047,3175,3450,3467,3680
BGM,42.208556,-75.979722,BINGHAMTON,NY,GREATER BINGHAMTON/EDWIN A LINK FIELD,2260,163,535,421,664,2138,305,597,1681,1871,2299
ILI,59.755578,-154.917752,ILIAMNA,AK,ILIAMNA AIRPORT,2151,2730,2805,2940,2749,2809,3494,3475,3718,3968,4003
CDB,55.20515,-162.724466,COLD BAY,AK,COLD BAY AIRPORT,2110,2506,2866,3652,3819,3864,3983,3875,4162,4014,3695
PGM,59.348259,-151.831539,PORT GRAHAM,AK,PORT GRAHAM AIRPORT,2092,2311,2465,2650,3113,3058,3003,3237,3492,3314,1911
KKI,60.904833,-161.422444,AKIACHAK,AK,AKIACHAK AIRPORT,2090,2417,2542,2685,2305,1842,1701,1789,1285,2525,1881
LCK,39.813778,-82.927806,COLUMBUS,OH,RICKENBACKER INTERNATIONAL AIRPORT,2064,2377,2397,2374,2441,2322,2136,2138,2893,3090,3096
LSE,43.879266,-91.256638,LA CROSSE,WI,LA CROSSE MUNICIPAL AIRPORT,2056,1061,710,927,1246,2002,1269,988,1284,946,729
HLN,46.606806,-111.98275,HELENA,MT,HELENA REGIONAL AIRPORT,2041,1461,1570,1390,1395,2133,1237,1854,2283,2248,2803
FSM,35.336583,-94.367444,FORT SMITH,AR,FORT SMITH REGIONAL AIRPORT,2003,171,479,691,710,1108,1185,464,1223,283,455
MLB,28.102753,-80.645257,MELBOURNE,FL,MELBOURNE INTERNATIONAL AIRPORT,1969,459,932,343,913,714,662,896,974,1967,1339
FLG,35.140306,-111.66925,FLAGSTAFF,AZ,FLAGSTAFF PULLIAM AIRPORT,1946,514,794,668,857,1329,800,505,503,497,526
KEB,59.352148,-151.92516,NANWALEK,AK,NANWALEK AIRPORT,1945,2295,2687,2876,3107,3078,2988,3120,3273,3204,1686
CMI,40.038833,-88.277806,CHAMPAIGN/URBANA,IL,UNIVERSITY OF ILLINOIS-WILLARD AIRPORT,1931,627,576,661,1132,1141,810,537,1093,2063,214
PIR,44.382694,-100.285972,PIERRE,SD,PIERRE REGIONAL AIRPORT,1909,1655,1441,1658,1459,1963,1748,780,1501,1166,389
PVC,42.072278,-70.220722,PROVINCETOWN,MA,PROVINCETOWN MUNICIPAL AIRPORT,1888,128,73,11,2,7,8,18,3,0,35
PGD,26.919568,-81.990573,PUNTA GORDA,FL,CHARLOTTE COUNTY AIRPORT,1887,1201,865,1289,847,716,204,16,0,0,0
KLG,61.536274,-160.341331,KALSKAG,AK,KALSKAG AIRPORT,1880,2425,2603,2742,2652,2539,2477,2997,3255,3286,3578
LWS,46.3745,-117.015389,LEWISTON,ID,LEWISTON-NEZ PERCE COUNTY AIRPORT,1827,2059,1974,1869,2290,2558,2082,1248,2066,1139,351
HTS,38.366667,-82.558028,HUNTINGTON,WV,TRI-STATE/MILTON J. FERGUSON FIELD,1810,1231,1599,1505,1656,1621,1811,1031,1683,1503,1127
FMN,36.74125,-108.229944,FARMINGTON,NM,FOUR CORNERS REGIONAL AIRPORT,1795,1272,2006,1927,1876,1940,1846,1860,1315,1412,1642
MLL,61.864278,-162.02611,MARSHALL,AK,MARSHALL DON HUNTER SR AIRPORT,1776,1477,1420,1880,2033,1953,1985,2201,1952,2084,2327
EWB,41.676556,-70.957806,NEW BEDFORD,MA,NEW BEDFORD REGIONAL AIRPORT,1775,310,269,209,253,701,11,9,6,0,0
LEB,43.626111,-72.304194,LEBANON,NH,LEBANON MUNICIPAL AIRPORT,1740,323,121,152,150,12,100,148,8,5,1
PBG,44.650944,-73.468139,PLATTSBURGH,NY,PLATTSBURGH INTERNATIONAL AIRPORT,1736,2216,1999,1832,1324,1174,850,248,0,0,0
LCH,30.126083,-93.223417,LAKE CHARLES,LA,LAKE CHARLES REGIONAL AIRPORT,1734,958,1120,1111,816,1219,634,357,973,529,392
RKS,41.594222,-109.065194,ROCK SPRINGS,WY,ROCK SPRINGS-SWEETWATER COUNTY AIRPORT,1715,850,679,847,1376,2313,822,591,711,414,480
DIK,46.797333,-102.801861,DICKINSON,ND,DICKINSON - THEODORE ROOSEVELT REGIONAL AIRPORT,1705,1050,498,487,987,1230,495,389,1447,1465,348
LYH,37.325389,-79.200431,LYNCHBURG,VA,LYNCHBURG REGIONAL/PRESTON GLENN FIELD,1680,301,422,539,249,1025,994,440,442,325,255
KKA,64.939489,-161.154266,KOYUK,AK,KOYUK ALFRED ADAMS AIRPORT,1655,1806,1808,1743,1818,1718,1849,1973,2221,2428,2423
EGE,39.642761,-106.915935,EAGLE,CO,EAGLE COUNTY REGIONAL AIRPORT,1635,1362,1186,1072,1294,1373,1314,1340,1290,1304,1138
SAF,35.617109,-106.089423,SANTA FE,NM,SANTA FE MUNICIPAL AIRPORT,1634,1604,883,901,1017,290,17,135,288,4,8
NME,60.471047,-164.700839,NIGHTMUTE,AK,NIGHTMUTE AIRPORT,1633,1974,1667,1585,1746,1727,1732,1772,1526,1564,1562
NME,60.472746,-164.699401,NIGHTMUTE,AK,NIGHTMUTE AIRPORT,1633,1974,1667,1585,1746,1727,1732,1772,1526,1564,1562
IPL,32.834219,-115.578744,IMPERIAL,CA,IMPERIAL COUNTY AIRPORT,1597,1166,55,126,716,1431,802,2,1224,745,861
RSH,61.77489,-161.319399,RUSSIAN MISSION,AK,RUSSIAN MISSION AIRPORT,1595,1719,1943,2195,2219,2096,2108,2262,2039,2139,2321
OTH,43.416944,-124.247028,NORTH BEND,OR,SOUTHWEST OREGON REGIONAL AIRPORT,1586,1178,842,1178,1071,1997,835,638,716,630,653
AKI,60.902889,-161.230583,AKIAK,AK,AKIAK AIRPORT,1583,1870,2075,2086,1935,1607,1497,1465,1218,2505,1819
PDT,45.695056,-118.841444,PENDLETON,OR,EASTERN OREGON REGIONAL AT PENDLETON AIRPORT,1566,824,967,962,848,967,1448,1019,1564,1323,1181
MTJ,38.509796,-107.894243,MONTROSE,CO,MONTROSE REGIONAL AIRPORT,1559,1172,1011,1358,1062,1020,955,965,501,503,470
HDN,40.481167,-107.217667,HAYDEN,CO,YAMPA VALLEY AIRPORT,1538,1164,1442,1115,1799,2031,1546,1386,1192,1196,1124
DEC,39.834562,-88.865689,DECATUR,IL,DECATUR AIRPORT,1535,0,5,4,24,184,609,470,399,410,405
BQN,18.494861,-67.129444,AGUADILLA,PR,RAFAEL HERNANDEZ AIRPORT,1534,1291,1340,1508,1472,2168,2139,2148,2038,2123,2271
MWA,37.754972,-89.011083,MARION,IL,WILLIAMSON COUNTY REGIONAL AIRPORT,1510,6,19,17,19,58,73,41,7,14,7
FLO,34.185361,-79.723889,FLORENCE,SC,FLORENCE REGIONAL AIRPORT,1506,928,611,556,756,1123,698,215,628,93,185
PHO,68.348835,-166.79935,POINT HOPE,AK,POINT HOPE AIRPORT,1471,1750,1688,1641,1734,1710,1710,1435,1466,1586,2210
ACT,31.611288,-97.230519,WACO,TX,WACO REGIONAL AIRPORT,1461,450,774,538,217,178,132,138,113,232,103
MHK,39.140972,-96.670833,MANHATTAN,KS,MANHATTAN REGIONAL AIRPORT,1454,1127,861,769,458,1269,650,55,40,33,37
CSG,32.516333,-84.938861,COLUMBUS,GA,COLUMBUS METROPOLITAN AIRPORT,1437,649,884,1018,505,438,318,388,397,475,649
PKA,60.702917,-161.77831,NAPASKIAK,AK,NAPASKIAK AIRPORT,1428,1553,1843,1871,1574,1367,1414,1494,976,1511,1206
IAN,66.975954,-160.436534,KIANA,AK,BOB BAKER MEMORIAL AIRPORT,1418,1749,1857,1676,1786,1712,2065,2393,2401,2113,2600
EAT,47.398089,-120.205737,WENATCHEE,WA,PANGBORN MEMORIAL AIRPORT,1401,684,1162,707,687,710,814,715,696,694,706
PGV,35.63525,-77.385306,GREENVILLE,NC,PITT-GREENVILLE AIRPORT,1353,1023,446,344,371,1415,1290,415,367,162,240
LUP,21.21104,-156.973597,KALAUPAPA,HI,KALAUPAPA AIRPORT,1349,745,813,137,0,136,10,31,480,574,9
BVU,35.94748,-114.861097,BOULDER CITY,NV,BOULDER CITY MUNICIPAL AIRPORT,1326,1281,1833,1865,1460,1474,1501,1954,2244,1816,1274
KVL,67.736151,-164.5635,KIVALINA,AK,KIVALINA AIRPORT,1322,1555,1705,1589,1706,1629,1692,1842,1869,1850,2203
BKC,65.981565,-161.149071,BUCKLAND,AK,BUCKLAND AIRPORT,1314,1482,1653,1499,1705,1464,1657,1967,1985,1755,2098
ELI,64.614972,-162.270528,ELIM,AK,ELIM AIRPORT,1307,1504,1663,1676,1659,1488,1571,2015,2096,2092,1919
ORI,57.885377,-152.846101,PORT LIONS,AK,PORT LIONS AIRPORT,1306,1362,1651,1684,1537,1849,1723,1703,1683,1199,1061
RDD,40.509,-122.293389,REDDING,CA,REDDING MUNICIPAL AIRPORT,1297,557,546,746,1659,1934,1620,1245,1654,1287,835
DHN,31.321021,-85.449479,DOTHAN,AL,DOTHAN REGIONAL AIRPORT,1285,195,218,216,452,218,427,297,452,93,276
CDV,60.491778,-145.477556,CORDOVA,AK,MERLE K (MUDHOLE) SMITH AIRPORT,1273,1507,1588,1683,1627,1662,1671,1595,1631,1746,1550
LNS,40.122361,-76.294361,LANCASTER,PA,LANCASTER AIRPORT,1254,5,6,7,7,44,17,25,6,6,4
ABY,31.535515,-84.194473,ALBANY,GA,SOUTHWEST GEORGIA REGIONAL AIRPORT,1244,526,514,521,531,812,925,912,929,925,973
RHI,45.6309,-89.466628,RHINELANDER,WI,RHINELANDER-ONEIDA COUNTY AIRPORT,1229,945,1331,1886,1047,2661,1262,462,1202,416,231
AKP,68.133597,-151.743342,ANAKTUVUK PASS,AK,ANAKTUVUK PASS AIRPORT,1217,1427,1363,1414,1497,1450,1445,1434,1413,1454,1346
LAW,34.567714,-98.416637,LAWTON,OK,LAWTON-FORT SILL REGIONAL AIRPORT,1217,338,228,130,157,398,499,93,38,36,12
CXF,67.252179,-150.203878,COLDFOOT,AK,COLDFOOT AIRPORT,1214,1204,973,139,204,170,282,306,241,213,193
JHW,42.153389,-79.258028,JAMESTOWN,NY,CHAUTAUQUA COUNTY/JAMESTOWN AIRPORT,1207,1191,769,546,1164,1647,614,566,551,601,586
GCC,44.348917,-105.539361,GILLETTE,WY,GILLETTE-CAMPBELL COUNTY AIRPORT,1199,837,1005,1375,1706,2826,1288,694,455,396,479
GLV,64.550455,-163.00717,GOLOVIN,AK,GOLOVIN AIRPORT,1197,1322,1394,1384,1327,1225,1283,1628,1721,1842,2001
GRI,40.967543,-98.309639,GRAND ISLAND,NE,CENTRAL NEBRASKA REGIONAL AIRPORT,1190,1444,1258,1135,814,848,1220,882,917,717,403
CLM,48.120194,-123.499694,PORT ANGELES,WA,WILLIAM R FAIRCHILD INTERNATIONAL AIRPORT,1190,804,669,867,793,824,701,821,588,613,579
MAZ,18.255694,-67.148472,MAYAGUEZ,PR,EUGENIO MARIA DE HOSTOS AIRPORT,1185,0,1,0,0,0,0,0,0,0,491
LMT,42.156139,-121.733194,KLAMATH FALLS,OR,KLAMATH FALLS AIRPORT,1176,1685,1501,1200,1237,2237,958,665,630,640,639
PIH,42.909806,-112.595917,POCATELLO,ID,POCATELLO REGIONAL AIRPORT,1174,1253,833,282,281,280,287,351,515,1074,1137
AIN,70.638,-159.99475,WAINWRIGHT,AK,WAINWRIGHT AIRPORT,1155,1356,1309,1350,1517,1593,1661,2115,1906,2094,2232
AIN,70.637524,-160.010217,WAINWRIGHT,AK,WAINWRIGHT AIRPORT,1155,1356,1309,1350,1517,1593,1661,2115,1906,2094,2232
KLN,57.535083,-153.976667,LARSEN BAY,AK,LARSEN BAY AIRPORT,1152,1104,1269,1320,1207,1371,1409,1419,1492,1328,895
KLN,57.53511,-153.97842,LARSEN BAY,AK,LARSEN BAY AIRPORT,1152,1104,1269,1320,1207,1371,1409,1419,1492,1328,895
GAM,63.766766,-171.732824,GAMBELL,AK,GAMBELL AIRPORT,1127,1341,1364,1388,1433,1331,1468,1613,1495,1665,2014
ROW,33.301556,-104.530556,ROSWELL,NM,ROSWELL INTERNATIONAL AIR CENTER AIRPORT,1119,633,659,793,1423,795,383,680,433,815,506
COU,38.818093,-92.219629,COLUMBIA,MO,COLUMBIA REGIONAL AIRPORT,1107,891,545,59,108,40,381,608,823,547,609
IPT,41.241836,-76.921096,WILLIAMSPORT,PA,WILLIAMSPORT REGIONAL AIRPORT,1104,243,257,582,268,354,278,466,282,311,671
MCG,62.952783,-155.607044,MCGRATH,AK,MC GRATH AIRPORT,1099,1489,1680,2270,1529,1598,1676,2075,1824,2006,1996
HGR,39.7085,-77.7265,HAGERSTOWN,MD,HAGERSTOWN REGIONAL-RICHARD A HENSON FIELD,1077,86,55,22,56,118,16,60,2,60,64
BRL,40.783225,-91.125506,BURLINGTON,IA,SOUTHEAST IOWA REGIONAL AIRPORT,1070,1269,950,1137,1127,232,578,175,0,0,1
IFP,35.155972,-114.559444,BULLHEAD CITY,AZ,LAUGHLIN/BULLHEAD INTERNATIONAL AIRPORT,1060,1032,859,874,1462,1398,1543,1325,1173,1187,1193
HVN,41.26375,-72.886806,NEW HAVEN,CT,TWEED-NEW HAVEN AIRPORT,1057,10,178,16,24,21,31,158,112,633,125
CIC,39.795389,-121.858417,CHICO,CA,CHICO MUNICIPAL AIRPORT,1054,261,261,263,261,266,507,492,453,448,412
PQI,46.688972,-68.044806,PRESQUE ISLE,ME,NORTHERN MAINE REGIONAL AIRPORT AT PRESQUE ISLE AIRPORT,1049,1263,859,317,309,309,316,352,312,337,338
RKD,44.060074,-69.099257,ROCKLAND,ME,KNOX COUNTY REGIONAL AIRPORT,1043,12,0,10,7,6,258,222,1128,333,46
KTS,65.331333,-166.465722,BREVIG MISSION,AK,BREVIG MISSION AIRPORT,1041,1243,1324,1319,1322,1355,1221,1454,1575,1601,1433
PSG,56.801667,-132.945278,PETERSBURG,AK,PETERSBURG JAMES A JOHNSON AIRPORT,1034,1124,1067,1036,1032,938,1018,1050,1039,1033,1179
GNU,59.117417,-161.577444,GOODNEWS,AK,GOODNEWS AIRPORT,1029,1353,1266,1515,1461,1562,1286,1286,1004,1127,1132
PUW,46.743861,-117.109583,"PULLMAN/MOSCOW,ID",WA,PULLMAN/MOSCOW REGIONAL AIRPORT,1024,373,381,388,596,822,267,145,309,13,58
CEC,41.780167,-124.236528,CRESCENT CITY,CA,JACK MC NAMARA FIELD AIRPORT,1022,1218,854,720,985,1317,978,698,1269,1261,683
CGI,37.225317,-89.570752,CAPE GIRARDEAU,MO,CAPE GIRARDEAU REGIONAL AIRPORT,998,3,3,10,2,425,338,32,16,25,12
AUG,44.32065,-69.797318,AUGUSTA,ME,AUGUSTA STATE AIRPORT,995,9,1,1,220,435,310,85,31,60,13
HCR,62.188333,-159.77492,HOLY CROSS,AK,HOLY CROSS AIRPORT,993,1338,1274,1230,1250,1302,1509,1828,1800,1931,2284
ATY,44.913972,-97.154722,WATERTOWN,SD,WATERTOWN REGIONAL AIRPORT,988,385,355,55,236,1388,436,92,927,423,358
RIW,43.064235,-108.459841,RIVERTON,WY,RIVERTON REGIONAL AIRPORT,988,624,237,323,493,100,587,382,433,452,264
NUL,64.729311,-158.074222,NULATO,AK,NULATO AIRPORT,984,1205,1195,1893,1692,1461,1430,1501,1625,1676,1918
HSL,65.697861,-156.351389,HUSLIA,AK,HUSLIA AIRPORT,958,1112,1342,1360,1401,1305,1280,1306,1495,1619,1729
MGW,39.642908,-79.916314,MORGANTOWN,WV,MORGANTOWN MUNICIPAL-WALTER L. BILL HART FIELD,954,923,872,714,617,1264,781,16,108,58,305
NUI,70.209953,-151.005561,NUIQSUT,AK,NUIQSUT AIRPORT,940,1357,1260,1341,1608,1039,1081,910,889,1082,1600
NUI,70.212875,-150.995697,NUIQSUT,AK,NUIQSUT AIRPORT,940,1357,1260,1341,1608,1039,1081,910,889,1082,1600
EAR,40.727028,-99.006778,KEARNEY,NE,KEARNEY REGIONAL AIRPORT,932,457,1065,470,297,319,576,765,251,24,223
COD,44.520194,-109.023806,CODY,WY,YELLOWSTONE REGIONAL AIRPORT,931,1065,1154,1072,944,1277,1008,715,779,722,598
PLN,45.570917,-84.796722,PELLSTON,MI,PELLSTON REGIONAL AIRPORT OF EMMET COUNTY AIRPORT,925,717,595,590,910,754,438,391,893,520,558
DUJ,41.178278,-78.898694,DUBOIS,PA,DUBOIS REGIONAL AIRPORT,922,1200,1006,1101,1169,670,404,193,126,322,343
BHB,44.449769,-68.361565,BAR HARBOR,ME,HANCOCK COUNTY-BAR HARBOR AIRPORT,919,452,523,10,576,813,149,204,218,215,75
OBU,66.912342,-156.897331,KOBUK,AK,KOBUK AIRPORT,910,1272,1286,1228,1229,1049,1169,1240,1253,1452,1493
BTT,66.913944,-151.529056,BETTLES,AK,BETTLES AIRPORT,899,957,914,888,933,812,912,933,1036,1118,1190
PKB,39.345104,-81.439203,PARKERSBURG,WV,MID-OHIO VALLEY REGIONAL AIRPORT,895,314,7,37,660,843,601,152,617,128,32
KVC,55.116348,-162.26623,KING COVE,AK,KING COVE AIRPORT,888,964,1232,1482,1542,1538,1512,1584,1886,1852,1571
PTU,59.011518,-161.819416,PLATINUM,AK,PLATINUM AIRPORT,879,1099,1039,1341,1327,1350,1077,917,669,744,715
GCK,37.927528,-100.724417,GARDEN CITY,KS,GARDEN CITY REGIONAL AIRPORT,869,755,633,861,425,1275,1141,1049,1581,1724,1246
IRK,40.0935,-92.544917,KIRKSVILLE,MO,KIRKSVILLE REGIONAL AIRPORT,866,0,0,0,454,673,464,161,563,476,0
FKL,41.377874,-79.860362,FRANKLIN,PA,VENANGO REGIONAL AIRPORT,865,1134,1078,1148,1161,1224,535,168,368,470,91
OWB,37.742239,-87.165702,OWENSBORO,KY,OWENSBORO-DAVIESS COUNTY AIRPORT,855,123,202,135,115,129,12,41,574,202,2
CKB,39.296639,-80.228083,CLARKSBURG,WV,NORTH CENTRAL WEST VIRGINIA AIRPORT,854,995,978,1025,1040,1017,851,266,124,280,60
BPT,29.950833,-94.020694,BEAUMONT/PORT ARTHUR,TX,SOUTHEAST TEXAS REGIONAL AIRPORT,852,210,32,18,35,42,321,454,449,363,372
