Carrier Name,Passengers,Seats,Distance (miles),Air Time (hours),Payload (tons),Freight (tons),Mail (tons)
Lan Peru Airlines,584,706,1338,0,137.3715,0,0
Singapore Airlines Ltd.,0,0,79473,0,34863.84,15777.0385,0
Volga-Dnepr Airlines,0,0,29837,0,2475,928.84,0
"Prescott Support Company, Inc.",0,0,33099,154.7166667,439.5985,51.7755,0
Sun Country Airlines d/b/a MN Airlines,1356231,1909054,2112628,33939.45,284106.232,351.649,1406.002
Qantas Airways Ltd.,117504,194200,200614,0,73388.436,38093.348,0
Alaska Airlines Inc.,14853222,18008214,5710922,313429.2,2405978.238,52521.949,12308.39
Horizon Air,4937328,6386660,367074,79299.26667,747911.5,2182.252,0
Island Air Hawaii,336860,644745,6672,4520.183333,71671.503,13.727,0
Korean Air Lines Co. Ltd.,0,0,820451,0,271879.0315,221304.0785,0
Cargojet Airways Ltd.,0,0,586,0,30.636,18.0435,0
TAG Aviation (UK) Ltd.,5,49,2615,0,10.1535,0,0
TAG Aviation Espana S.L.,62,196,16767,0,141.6895,0,0
Chartright Air Inc.,388,864,45107,0,121.8945,0,0
Air Alsie A/S,11,78,17202,0,22.641,0,0
Cathay Pacific Airways Ltd.,780,955,382579,0,306004.2975,213119.5715,0
TAG Aviation S.A.,8,45,5326,0,14.9985,0,0
G5 Executive Ag,49,265,19578,0,37.4005,0,0
"Global Jet Austria, GmbH",75,260,8812,0,57.884,0,0
Island Airlines LLC,77717,102681,85259,2837.183333,17651.0505,314.021,0
Falcon Air Express,163435,319176,631544,3449.216667,35805,0,0
London Air Services Limited,311,603,40592,0,104.1145,0,0
Polyot Airlines,0,0,4519,0,372.9,109.6875,0
Philippine Airlines Inc.,34717,39928,102605,0,6567.2875,290.654,0
Sunwing Airlines Inc.,652,2457,809,0,68.851,0,0
Antonov Company,0,0,44045,0,3432,1457.9375,0
Eva Airways Corporation,0,0,384027,0,214935.6,144226.7945,0
Japan Air Lines Co. Ltd.,661,838,489,0,123.64,0,0
